title,year,genre,actors
Pirates of the Caribbean: The Curse of the Black Pearl,2003,comedy,"Johnny Depp,, Orlando Bloom,, Keira Knightley,, Geoffrey Rush,, Jack Davenport"
"Monsters, Inc.",2001,comedy,"John Goodman,, Billy Crystal,, Mary Gibbs,, Steve Buscemi"
Up,2009,comedy,"Ed Asner,, Christopher Plummer,, Jordan Nagai,, Bob Peterson"
Finding Nemo,2003,comedy,"Albert Brooks,, Ellen DeGeneres,, Alexander Gould,, Willem Dafoe"
Back to the Future,1985,comedy,"Michael J. Fox,, Christopher Lloyd,, Lea Thompson,, Crispin Glover,, Claudia Wells"
Men in Black (MIB),1997,comedy,"Tommy Lee Jones,, Will Smith,, Linda Fiorentino,, Vincent D'Onofrio,, Rip Torn"
Snatch,2000,comedy,"Jason Statham,, Stephen Graham,, Brad Pitt,, Alan Ford,, Vinnie Jones"
As Good As It Gets,1997,comedy,"Jack Nicholson,, Helen Hunt,, Greg Kinnear,, Cuba Gooding Jr.,, Skeet Ulrich"
Shrek 2,2004,comedy,"Mike Myers,, Eddie Murphy,, Cameron Diaz,, Antonio Banderas"
Pretty Woman,1990,comedy,"Julia Roberts,, Richard Gere,, Hector Elizondo,, Jason Alexander,, Ralph Bellamy"
Dumb and Dumber,1994,comedy,"Jim Carrey,, Jeff Daniels,, Lauren Holly,, Mike Starr,, Charles Rocket"
The Truman Show,1998,comedy,"Jim Carrey,, Laura Linney,, Noah Emmerich,, Ed Harris,, Natascha McElhone"
The Big Lebowski,1998,comedy,"Jeff Bridges,, John Goodman,, Julianne Moore,, Steve Buscemi,, David Huddleston"
Home Alone,1990,comedy,"Macaulay Culkin,, Joe Pesci,, Daniel Stern,, John Heard,, Roberts Blossom"
Ice Age,2002,comedy,"Ray Romano,, John Leguizamo,, Denis Leary,, Jack Black,, Alan Tudyk"
Ghostbusters,1984,comedy,"Bill Murray,, Dan Aykroyd,, Sigourney Weaver,, Harold Ramis,, Ernie Hudson"
Toy Story 3,2010,comedy,"Tom Hanks,, Tim Allen,, Joan Cusack,, Don Rickles"
Toy Story 2,1999,comedy,"Tom Hanks,, Tim Allen,, Joan Cusack,, Don Rickles"
American Pie,1999,comedy,"Jason Biggs,, Chris Klein,, Thomas Ian Nicholas,, Alyson Hannigan,, Shannon Elizabeth"
The Intouchables,2011,comedy,"François Cluzet,, Omar Sy,, Anne Le Ny,, Audrey Fleurot,, Clotilde Mollet"
Scary Movie,2000,comedy,"Anna Faris,, Jon Abrahams,, Carmen Electra,, Shannon Elizabeth,, Kurt Fuller"
Forrest Gump,1994,drama,"Tom Hanks,, Robin Wright,, Gary Sinise,, Mykelti Williamson,, Sally Field"
Life Is Beautiful,1997,drama,"Roberto Benigni,, Nicoletta Braschi,, Giorgio Cantarini,, Marisa Paredes,, Giustino Durano"
Fight Club,1999,drama,"Edward Norton,, Brad Pitt,, Helena Bonham Carter,, Meat Loaf,, Jared Leto"
Gladiator,2000,drama,"Russell Crowe,, Joaquin Phoenix,, Connie Nielsen,, Oliver Reed,, Richard Harris"
Titanic,1997,drama,"Leonardo DiCaprio,, Kate Winslet,, Billy Zane,, Kathy Bates,, Frances Fisher"
Schindler's List,1993,drama,"Liam Neeson,, Ben Kingsley,, Ralph Fiennes,, Caroline Goodall,, Jonathan Sagall"
American Beauty,1999,drama,"Kevin Spacey,, Annette Bening,, Thora Birch,, Allison Janney,, Peter Gallagher"
The Shawshank Redemption,1994,drama,"Tim Robbins,, Morgan Freeman,, Bob Gunton,, James Whitmore,, Gil Bellows"
Million Dollar Baby,2004,drama,"Clint Eastwood,, Hilary Swank,, Morgan Freeman,, Anthony Mackie,, Jay Baruchel"
The Sixth Sense,1999,drama,"Haley Joel Osment,, Bruce Willis,, Toni Collette,, Olivia Williams,, Trevor Morgan"
The Lion King,1994,drama,"Matthew Broderick,, Jeremy Irons,, Jonathan Taylor Thomas,, Moira Kelly"
Amelie,2001,drama,"Audrey Tautou,, Mathieu Kassovitz,, Rufus Magloire,, Lorella Cravotta,, Serge Merlin"
E.T. the Extra-Terrestrial,1982,drama,"Henry Thomas,, Dee Wallace,, Robert MacNaughton,, Drew Barrymore,, Peter Coyote"
The Dark Knight,2008,drama,"Christian Bale,, Heath Ledger,, Aaron Eckhart,, Michael Caine,, Gary Oldman"
Braveheart,1995,drama,"Mel Gibson,, Sophie Marceau,, Patrick McGoohan,, Angus MacFadyen,, Catherine McCormack"
American History X,1998,drama,"Edward Norton,, Edward Furlong,, Fairuza Balk,, Stacy Keach,, Elliott Gould"
The Pianist,2002,drama,"Adrien Brody,, Thomas Kretschmann,, Maureen Lipman,, Ed Stoppard,, Emilia Fox"
Gran Torino,2008,drama,"Clint Eastwood,, Christopher Carley,, Bee Vang,, Ahney Her,, John Carroll Lynch"
Mystic River,2003,drama,"Sean Penn,, Tim Robbins,, Kevin Bacon,, Laurence Fishburne,, Marcia Gay Harden"
The Departed,2006,drama,"Leonardo DiCaprio,, Matt Damon,, Jack Nicholson,, Mark Wahlberg,, Vera Farmiga"
Trainspotting,1996,drama,"Ewan McGregor,, Robert Carlyle,, Jonny Lee Miller,, Ewen Bremner,, Kelly MacDonald"
Slumdog Millionaire,2008,drama,"Dev Patel,, Freida Pinto,, Madhur Mittal,, Anil Kapoor,, Irrfan Khan"
As Good As It Gets,1997,drama,"Jack Nicholson,, Helen Hunt,, Greg Kinnear,, Cuba Gooding Jr.,, Skeet Ulrich"
Big Fish,2003,drama,"Ewan McGregor,, Albert Finney,, Billy Crudup,, Jessica Lange,, Alison Lohman"
City of God,2002,drama,"Alexandre Rodrigues,, Leandro Firmino,, Phellipe Haagensen,, Douglas Silva,, Seu Jorge"
Moulin Rouge,2001,drama,"Nicole Kidman,, Ewan McGregor,, John Leguizamo,, David Wenham,, Jim Broadbent"
The Truman Show,1998,drama,"Jim Carrey,, Laura Linney,, Noah Emmerich,, Ed Harris,, Natascha McElhone"
The Curious Case of Benjamin Button,2008,drama,"Brad Pitt,, Cate Blanchett,, Taraji P. Henson,, Tilda Swinton,, Jason Flemyng"
Full Metal Jacket,1987,drama,"Matthew Modine,, Vincent D'Onofrio,, R. Lee Ermey,, Adam Baldwin,, Arliss Howard"
Requiem for a Dream,2000,drama,"Jared Leto,, Jennifer Connelly,, Ellen Burstyn,, Marlon Wayans,, Christopher McDonald"
The Silence of the Lambs,1991,horror,"Jodie Foster,, Anthony Hopkins,, Scott Glenn,, Ted Levine,, Anthony Heald"
The Sixth Sense,1999,horror,"Haley Joel Osment,, Bruce Willis,, Toni Collette,, Olivia Williams,, Trevor Morgan"
The Others,2001,horror,"Nicole Kidman,, Fionnula Flanagan,, Christopher Eccleston,, Alakina Mann,, James Bentley"
The Shining,1980,horror,"Jack Nicholson,, Shelley Duvall,, Danny Lloyd,, Scatman Crothers,, Barry Nelson"
Scary Movie,2000,horror,"Anna Faris,, Jon Abrahams,, Carmen Electra,, Shannon Elizabeth,, Kurt Fuller"
Saw,2004,horror,"Cary Elwes,, Leigh Whannell,, Danny Glover,, Monica Potter,, Dina Meyer"
I Am Legend,2007,horror,"Will Smith,, Alice Braga,, Salli Richardson-Whitfield,, Paradox Pollack,, Charlie Tahan"
Gremlins,1984,horror,"Zach Galligan,, Phoebe Cates,, Hoyt Axton,, Frances Lee McCain,, Dick Miller"
The Nightmare Before Christmas,1993,horror,"Chris Sarandon,, Catherine O'Hara,, William Hickey,, Glenn Shadix"
Corpse Bride,2005,horror,"Johnny Depp,, Helena Bonham Carter,, Emily Watson,, Albert Finney"
The Blair Witch Project,1999,horror,"Heather Donahue,, Michael C. Williams,, Joshua Leonard,, Patricia DeCou"
The Orphanage,2007,horror,"Belén Rueda,, Fernando Cayo,, Roger Príncep,, Geraldine Chaplin,, Mabel Rivera"
Blade,1998,horror,"Wesley Snipes,, Stephen Dorff,, Kris Kristofferson,, Sanaa Lathan,, Donal Logue"
Bram Stoker's Dracula,1992,horror,"Gary Oldman,, Winona Ryder,, Anthony Hopkins,, Keanu Reeves,, Richard E. Grant"
[•REC],2007,horror,"Manuela Velasco,, Ferrán Terraza,, Jorge Serrano,, Pablo Rosso,, David Vert"
Sleepy Hollow,1999,horror,"Johnny Depp,, Christina Ricci,, Miranda Richardson,, Michael Gambon,, Casper Van Dien"
War of the Worlds,2005,horror,"Tom Cruise,, Dakota Fanning,, Justin Chatwin,, Tim Robbins,, Miranda Otto"
28 Days Later,2002,horror,"Cillian Murphy,, Naomie Harris,, Megan Burns,, Brendan Gleeson,, Christopher Eccleston"
The Ring,2002,horror,"Naomi Watts,, Martin Henderson,, Brian Cox,, David Dorfman,, Daveigh Chase"
Cube,1997,horror,"Maurice Dean Wint,, Nicole de Boer,, Nicky Guadagni,, David Hewlett,, Andrew Miller"
The Day of the Beast,1995,horror,"Álex Angulo,, Santiago Segura,, Armando de Razza,, María Grazia Cucinotta,, Terele Pávez"
World War Z,2013,horror,"Brad Pitt,, Mireille Enos,, Daniella Kertesz,, David Morse,, Matthew Fox"
I Know What You Did Last Summer,1997,horror,"Jennifer Love Hewitt,, Sarah Michelle Gellar,, Ryan Phillippe,, Freddie Prinze Jr.,, Johnny Galecki"
Interview With the Vampire,1994,horror,"Tom Cruise,, Brad Pitt,, Kirsten Dunst,, Antonio Banderas,, Christian Slater"
Scream,1996,horror,"Neve Campbell,, David Arquette,, Courteney Cox,, Matthew Lillard,, Rose McGowan"
Zombieland,2009,horror,"Jesse Eisenberg,, Woody Harrelson,, Emma Stone,, Abigail Breslin,, Amber Heard"
American Psycho,2000,horror,"Christian Bale,, Willem Dafoe,, Jared Leto,, Josh Lucas,, Samantha Mathis"
From Dusk Till Dawn,1996,horror,"George Clooney,, Harvey Keitel,, Juliette Lewis,, Quentin Tarantino,, Salma Hayek"
Final Destination,2000,horror,"Devon Sawa,, Ali Larter,, Kerr Smith,, Seann William Scott,, Kristen Cloke"
Let the Right One In,2008,horror,"Kåre Hedebrant,, Lina Leandersson,, Per Ragnar,, Henrik Dahl,, Karin Bergquist"
